query_id,query,prediction,reference,citations,abstained,abstain_reason,retrieval_latency_s,generation_latency_s
572a06af3f37b3190047866a,What pathway that plays a role in immune response to viruses is present in all eukaryotes?,The RNA interference pathway is conserved across all eukaryotes and is thought to play a role in the immune response to viruses [1].,RNA interference pathway,"['[1] doc=doc_85ba5dc6cde1a3d4 title=Immune_system score=0.835', '[2] doc=doc_9362717a69b643de title=Immune_system score=0.807', '[3] doc=doc_899b3515f9dd989c title=Immune_system score=0.747', '[4] doc=doc_52e26364848910ee title=French_and_Indian_War score=0.671', '[5] doc=doc_9af91620b3e78305 title=Ctenophora score=0.659', '[6] doc=doc_0b4e49bb1b9fdaa4 title=Black_Death score=0.658']",False,,0.3080885780000244,1.22155048300192
5726249538643c19005ad080,What was developed for the Air Force,"Baran developed the concept of distributed adaptive message block switching during his research at the RAND Corporation for the US Air Force into survivable communications networks [1]. This work focused on a decentralized network architecture, dividing messages into packets, and utilizing store-and-forward switching to ensure communication survival.",survivable communications networks,"['[1] doc=doc_e7cdebfcb2951145 title=Packet_switching score=0.727', '[2] doc=doc_ddd34bd0b5e77cb9 title=Prime_number score=0.685', '[3] doc=doc_0cd0cede0ae47160 title=Oxygen score=0.668', '[4] doc=doc_1e17407004c7b5b3 title=Sky_(United_Kingdom) score=0.664', '[5] doc=doc_88a241eb54feee53 title=Amazon_rainforest score=0.663', '[6] doc=doc_dc3da4553b9a2a2a title=Amazon_rainforest score=0.660']",False,,0.21687988100165967,1.726235299000109
57337ddc4776f41900660bbe,Why are the small lakes in the parks emptied before winter?,The majority of small lakes in Warsaw's parks are emptied before winter to clean them of plants and sediments [1].,to clean them,"['[1] doc=doc_aa58059dd82409e1 title=Warsaw score=0.800', '[2] doc=doc_17a5ef4b6fbd30dc title=Rhine score=0.745', '[3] doc=doc_11c1d4aa5b74338c title=Rhine score=0.699', '[4] doc=doc_52e26364848910ee title=French_and_Indian_War score=0.695', '[5] doc=doc_dc3da4553b9a2a2a title=Amazon_rainforest score=0.668', '[6] doc=doc_c439dd283c395213 title=French_and_Indian_War score=0.666']",False,,0.2462166260011145,1.2389165540007525
57332e48d058e614000b5765,How many days did the Warsaw Uprising last?,"The Warsaw Uprising lasted for 63 days [1]. Although it was initially planned to last only 48 hours, the armed struggle continued beyond that duration until the Home Army fighters and civilians were forced to capitulate [1].",63 days,"['[1] doc=doc_8c57113d254c4ded title=Warsaw score=0.848', '[2] doc=doc_9fc8214adab6a7d8 title=Warsaw score=0.748', '[3] doc=doc_aa58059dd82409e1 title=Warsaw score=0.714', '[4] doc=doc_6f7d47ca4f5a472d title=Warsaw score=0.693', '[5] doc=doc_6f7d47ca4f5a472d title=Warsaw score=0.675', '[6] doc=doc_52e26364848910ee title=French_and_Indian_War score=0.664']",False,,0.24302040100155864,1.6312087929982226
56e16182e3433e1400422e29,By what main attribute are computational problems classified utilizing computational complexity theory?,"Computational problems are classified according to their inherent difficulty [1]. This classification involves relating these classes to each other based on the resources required, as the field distinguishes itself from computability theory by focusing on whether problems can be solved with appropriately restricted resources rather than just algorithmic solvability in principle [2].",inherent difficulty,"['[1] doc=doc_7d263b8285c070bb title=Computational_complexity_theory score=0.904', '[2] doc=doc_13a72cd5f6eb201c title=Computational_complexity_theory score=0.848', '[3] doc=doc_433f5d7dcb279d98 title=Prime_number score=0.719', '[4] doc=doc_ddd34bd0b5e77cb9 title=Prime_number score=0.707', '[5] doc=doc_899b3515f9dd989c title=Immune_system score=0.671', '[6] doc=doc_cf43b0541a7facbe title=Prime_number score=0.666']",False,,0.2784163790056482,1.8575102039976628
57097051ed30961900e84134,What did BSkyB name their interactive service?,"BSkyB named its interactive service **Open**, which was later rebranded as **Sky Active** [1].",Sky Active,"['[1] doc=doc_4587358aabe10131 title=Sky_(United_Kingdom) score=0.828', '[2] doc=doc_bc29e60d357759a6 title=Sky_(United_Kingdom) score=0.794', '[3] doc=doc_a69b66b57895f651 title=Sky_(United_Kingdom) score=0.766', '[4] doc=doc_a69b66b57895f651 title=Sky_(United_Kingdom) score=0.761', '[5] doc=doc_1e17407004c7b5b3 title=Sky_(United_Kingdom) score=0.750', '[6] doc=doc_e7cdebfcb2951145 title=Packet_switching score=0.658']",False,,0.24822572000266518,1.2670827499969164
571c3e8cdd7acb1400e4c0a6,What researcher showed that air is a necessity for combustion?,Robert Boyle proved in the late 17th century that air is necessary for combustion [1]. John Mayow further refined this work by showing that fire requires only a specific part of the air he termed *nitroaereus* [1].,Robert Boyle,"['[1] doc=doc_0cd0cede0ae47160 title=Oxygen score=0.866', '[2] doc=doc_e7cdebfcb2951145 title=Packet_switching score=0.682', '[3] doc=doc_030507e06afbebda title=University_of_Chicago score=0.673', '[4] doc=doc_2ba5ddd695ee3bb2 title=Amazon_rainforest score=0.667', '[5] doc=doc_13a72cd5f6eb201c title=Computational_complexity_theory score=0.665', '[6] doc=doc_ddd34bd0b5e77cb9 title=Prime_number score=0.662']",False,,0.23920777199964505,1.6852593450021232
5ad0421177cf76001a686f15,How much did southern California grow in the year 2000?,"Based on the provided context, it is not possible to determine how much Southern California grew specifically **in** the year 2000. The document [1] states that between the years of the ""2000s,"" Southern California's growth rate was less than the state average of 10.0%, but it does not provide a specific figure for the single year 2000 or an exact total population count at any point in time to calculate annual growth [1].

I cannot find enough evidence in retrieved documents.",,"['[1] doc=doc_da7616a2dc865441 title=Southern_California score=0.876', '[2] doc=doc_88a241eb54feee53 title=Amazon_rainforest score=0.674', '[3] doc=doc_bc29e60d357759a6 title=Sky_(United_Kingdom) score=0.666', '[4] doc=doc_a69b66b57895f651 title=Sky_(United_Kingdom) score=0.647', '[5] doc=doc_5587664b2f2878e1 title=Victoria_(Australia) score=0.646', '[6] doc=doc_7e5c72fa9cb60455 title=Huguenot score=0.641']",False,,0.29439804700086825,2.5703951109971968
57097b50200fba1400368050,What was the target percentage of households BSkyB wanted to reach?,"BSkyB's direct-to-home satellite service aimed to reach **36%** of UK households, which represented a target audience of more than 25 million people [1]. This milestone was confirmed in 2010 when the service became available in 10 million homes.",36%,"['[1] doc=doc_bc29e60d357759a6 title=Sky_(United_Kingdom) score=0.875', '[2] doc=doc_a69b66b57895f651 title=Sky_(United_Kingdom) score=0.832', '[3] doc=doc_a69b66b57895f651 title=Sky_(United_Kingdom) score=0.782', '[4] doc=doc_4587358aabe10131 title=Sky_(United_Kingdom) score=0.766', '[5] doc=doc_1e17407004c7b5b3 title=Sky_(United_Kingdom) score=0.726', '[6] doc=doc_07c4857ade186a50 title=Jacksonville,_Florida score=0.697']",False,,0.29227390499727335,1.955552635998174
5ad3ed37604f3c001a3ff7a1,At what degree are the pistons of a two-cylinder compound connected to the pistons?,"In one case (the first type of Vauclain compound), the pistons work in the same phase driving a common crosshead and crank, again set at 90° as for a two-cylinder engine [1]. However, when double expansion groups are duplicated to produce a four-cylinder compound, individual pistons within each group are usually balanced at 180°, while the groups themselves are set at 90° to each other [1].",,"['[1] doc=doc_f5523a36a816f38c title=Steam_engine score=0.874', '[2] doc=doc_9af91620b3e78305 title=Ctenophora score=0.678', '[3] doc=doc_433f5d7dcb279d98 title=Prime_number score=0.669', '[4] doc=doc_9af91620b3e78305 title=Ctenophora score=0.662', '[5] doc=doc_0cd0cede0ae47160 title=Oxygen score=0.659', '[6] doc=doc_1e17407004c7b5b3 title=Sky_(United_Kingdom) score=0.659']",False,,0.3930220160036697,2.4720544470037566
5a7b079b21c2de001afe9cf9,What show did Lupe Mayorga star in?,"Based on the provided context, there is no evidence that Lupe Mayorga starred in a television or radio show; she was adopted by Bill Aken and described as an actress [1]. The document states that ""Walking Into Fresno,"" written by Bill Aken (who was adopted by her), was recorded by Bob Gallion of the world-famous ""WWVA Jamboree"" radio and television show in Wheeling, West Virginia [1], but it does not indicate that Lupe Mayorga starred in this program.

I cannot find enough evidence in retrieved documents to answer what show Lupe Mayorga starred in.",,"['[1] doc=doc_7a35df61d48919ac title=Fresno,_California score=0.650', '[2] doc=doc_7e5c72fa9cb60455 title=Huguenot score=0.609', '[3] doc=doc_1e17407004c7b5b3 title=Sky_(United_Kingdom) score=0.607', '[4] doc=doc_f0fdd976511382ac title=Amazon_rainforest score=0.604', '[5] doc=doc_0cd0cede0ae47160 title=Oxygen score=0.603', '[6] doc=doc_dc3da4553b9a2a2a title=Amazon_rainforest score=0.600']",False,,0.2554673749982612,2.9979815059996326
572fe53104bcaa1900d76e6d,What will cause the lake near the Rhine to silt up?,"The continuous input of sediment into the lake is expected to cause it to silt up [1]. This context also notes that the former Lake Tuggenersee has already experienced silting due to this process, and distinguishes the water characteristics between the Rhine (lighter suspended load from higher mountains) and the Dornbirner Ach (darker color), which is being diverted parallel to a canalized section of the Rhine [1].",continuous input of sediment,"['[1] doc=doc_17a5ef4b6fbd30dc title=Rhine score=0.870', '[2] doc=doc_11c1d4aa5b74338c title=Rhine score=0.787', '[3] doc=doc_aa58059dd82409e1 title=Warsaw score=0.741', '[4] doc=doc_f0fdd976511382ac title=Amazon_rainforest score=0.705', '[5] doc=doc_dc3da4553b9a2a2a title=Amazon_rainforest score=0.688', '[6] doc=doc_0b4e49bb1b9fdaa4 title=Black_Death score=0.685']",False,,0.2740176419974887,2.421273317995656
