text,label
"Company reports record quarterly profit and raises guidance",0
"Stocks fall after central bank warns about inflation pressures",1
"Hospital study shows improved outcomes for new treatment",2
"Court rules on contract dispute between two firms",3
"Tech startup launches AI assistant for finance teams",0
"Energy sector declines amid weak global demand",1
"Doctors publish findings on clinical trial safety",2
"Legal filing alleges breach of data privacy obligations",3
"Retail chain expands to new markets with digital strategy",0
"Currency volatility increases after policy announcement",1
"Researchers discuss vaccine effectiveness in adults",2
"Lawmakers debate consumer protection amendments",3
"Bank releases strong credit growth numbers",0
"Markets react negatively to recession concerns",1
"Medical association issues new treatment guidelines",2
"Supreme court hears arguments in liability case",3
"Analysts upgrade outlook for semiconductor companies",0
"Bond yields rise as inflation expectations climb",1
"Clinical team reports reduction in readmission rates",2
"Judge dismisses claims due to insufficient evidence",3
